OBJECTID,ZCTA5,DDA_CODE,DDA_TYPE,DDA_NAME,Shape__Area,Shape__Length
2508,33912,METRO15980M15980,SA,"Cape Coral-Fort Myers, FL MSA",71811943.0488281,40413.4139023037
2509,91204,METRO31080MM4480,SA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",3924372.69921875,11912.3378090778
2510,93222,METRO12540M12540,SA,"Bakersfield-Delano, CA MSA",418715602.460938,130458.110880419
2511,11530,METRO35620MM5380,SA,"Nassau-Suffolk, NY HUD Metro FMR Area",32802697.5429688,36836.2840081279
2512,85613,METRO43420M43420,SA,"Sierra Vista-Douglas, AZ MSA",203774840.523438,80250.8902682739
2513,10032,METRO35620MM5600,SA,"New York, NY HUD Metro FMR Area",3034426.73828125,8809.90678533736
2514,29714,METRO16740N45023,SA,"Chester County, SC HUD Metro FMR Area",130010669.753906,73785.2449052145
2515,30144,METRO12060M12060,SA,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",84428050.3359375,70465.3679822058
2516,33914,METRO15980M15980,SA,"Cape Coral-Fort Myers, FL MSA",95574751.6484375,49365.3915854776
2517,92335,METRO40140M40140,SA,"Riverside-San Bernardino-Ontario, CA MSA",66025406.4726563,42239.4480811885
2518,01886,METRO14460MM4560,SA,"Lowell, MA HUD Metro FMR Area",149961341.203125,50824.4451211311
2519,32221,METRO27260M27260,SA,"Jacksonville, FL HUD Metro FMR Area",166118318.679688,70278.5007880597
2520,33014,METRO33100MM5000,SA,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",24238366.9238281,27929.0807502615
2521,60613,METRO16980M16980,SA,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",11016220.3242188,20229.9278967024
